,Measured Data,Linear Regression,Support Vector Regression,Decision Tree Regression,Random Forest Regression,Random Forest Regression (standardized data),Gradient Boosting,Extreme Gradient Boosting,Bootstrapping,Neural Networks
987,330.2027729,299.39908257981824,311.9410009233181,302.147573,314.3909055566887,314.6851428273766,315.8598280781963,319.94177,312.97451549000004,302.4022271115861
988,101.2800607,98.52805188112069,108.71196605569024,101.1517598,106.95605682285824,107.38773358389855,101.4952758004042,101.85257,103.85095539,99.10123112248587
989,280.7060438,256.2458312882387,288.60528732268864,281.0105753,281.2275447621351,285.5901455322346,286.35318996760816,279.04922,279.54172883,273.64340105056834
990,311.6433047,324.9459611055605,321.16457722456795,289.2599255,311.07290475914925,314.3129313159805,301.03749726639745,297.66406,303.87907004,329.3082446281514
991,145.4134773,147.84336335813617,148.0005885877881,138.502182,139.3945304577644,138.43678861669068,138.49018071791482,141.07889,139.02942963,147.30917212990474
992,140.9137366,128.24021369492604,131.82614535978252,138.1947203,133.14759049117853,133.7536734036676,133.90868035200043,128.38275,134.12184695,135.78539043554844
993,322.5733693,309.9369283024471,316.48749895391336,311.959557,310.5772729065844,311.4978340549205,310.1244022593803,314.07196,323.98063971,312.2786862623145
994,108.8617439,117.91223127046628,109.04647035779338,107.1978089,120.88232471256809,128.42335887867046,122.347200599585,112.0118,113.72767587999999,131.9839629228662
995,134.4649943,117.61947667981977,132.71220611691533,133.9224887,133.41555611563055,132.9544298742333,132.99729528126585,133.18185,133.307356,129.31647980291802
996,252.5198221,208.99568382252758,258.1293234781995,261.2302602,256.62835335520117,262.95670472835076,261.4147352452841,258.70013,257.12628487,233.95323977100637
997,160.3060095,159.69112522542216,172.66272366530308,155.4525518,158.79096564262917,158.24705055318162,158.84959748938056,165.42902,160.55068119999999,161.3890322412919
998,163.4421607,157.87051142364524,152.15726072928436,158.5757264,155.06163264721462,152.62237115403704,154.08335507532263,157.44717,157.89060378,154.00312410096635
999,307.9903918,279.27539844665773,281.61832621148824,289.4694348,293.04258400270834,289.83388049969983,294.5250928806087,293.71237,296.09681465,276.65056296797144
1000,316.0957436,302.37812328681184,312.24059926554423,320.9674104,320.4319486608749,313.009036087052,321.7261427443849,321.4378,338.45335796999996,313.01887779064106
1001,121.343768,129.18551913619777,120.46671822127338,122.5248479,121.57731730533722,121.74966564007056,120.60504547589859,120.328575,122.20587469999998,122.36983641664828
1002,118.1720358,130.2197904619853,127.89971137899724,122.9777731,124.10696622680824,125.39630387375547,123.1442184041875,123.962814,123.56375030999997,134.86929463672365
1003,117.3511612,120.95497317257143,122.27379583025903,117.1401868,119.37574654492688,119.19341888515277,115.02213071472896,115.83919,118.00394696999999,113.29321870824137
1004,306.1862258,278.93361203596623,298.56705596059726,270.861409,288.290308684292,293.01687460371414,290.64921377583033,292.3948,278.95010052,283.9744927918067
1005,316.6129239,304.2922422536177,308.36143661680916,325.7266831,313.16612641527297,308.5297005868942,319.07270405550713,318.79575,333.2533204,297.6384910923504
1006,269.3755883,275.6846029585862,260.4447695779602,285.3610851,262.2931746332262,266.4513446027772,265.38688303298665,275.97382,274.09321029999995,256.15826375331164
1007,116.9760956,122.69859878935742,110.73124944383625,109.4000635,113.88581345400618,115.4785708687255,113.17094856272149,114.5752,111.29039831,118.96978556657079
1008,137.7311208,140.7759353999122,138.51899146161364,140.5692288,140.22361990685042,139.5955723691569,140.33917037780878,138.79152,142.44281961,142.4076505756868
1009,320.0052583,318.12110539086166,314.0464169006218,308.049833,315.55230417144764,314.11885103644516,312.893192743152,316.6687,308.70117459999994,306.25535377399683
1010,116.7033777,119.72323579033821,121.92896088425104,119.1906989,118.1217870911158,118.32972940938238,116.0178554435717,116.82218,118.38051953000002,114.9647578802056
